blind_id,query,expected_decision,actual_decision,expected_category,actual_category,expected_record_id,actual_record_id,candidates,stage,match_score,band,route,flags,verdict,correct,safety_note,final_response
T2_B001,I've come in on an arrival and need to report a wallet I misplaced. Where's the lost-property office?,answer,answer,lost_property,lost_property,lost_property_t1,lost_property_t1,lost_property_t1,alias_lookup,,strong match,text_only,,correct,True,,"Lost Property Office (Terminal 1, Arrivals, Level 0, Arrivals Hall). // Central office for items lost anywhere at the airport or left on board aircraft. Serves both terminals. // Directions: Arrivals Hall, Terminal 1, beside the arrivals information desk. From Terminal 2, take the shuttle to Terminal 1. // Opening hours mon to fri: 07:00-19:00; sat to sun: 09:00-17:00. // Accessibility: step-free access, induction loop, accessible toilet nearby. // Nearest assistance point: Assistance Point, Terminal 1 Main Entrance. // Help: Arrivals information desk, Terminal 1. // Source: synthetic knowledge base for a fictional airport (record lost_property_t1, last verified 2026-09-11). Matched by alias lookup."
T2_B002,I'm on the departures level in Terminal 1 and need the information desk.,answer,clarify,information,information,info_desk_t1_departures,,info_desk_t1_departures|info_desk_t1_arrivals,category_filter_semantic,0.6116,uncertain,text_only,,over_cautious,False,safe: asked or declined where an answer was expected,"Which of these do you mean? Information Desk, Terminal 1 Departures or Information Desk, Terminal 1 Arrivals? // Source: synthetic knowledge base for a fictional airport. Matched by similarity: uncertain."
T2_B003,Which security checkpoint should I head for in Terminal 1?,clarify,clarify,security,security,,,security_t1_south|security_t1_north,category_filter_semantic,0.7229,uncertain,text_only,,correct,True,,"Which of these do you mean? Security South, Terminal 1 or Security North, Terminal 1? // Source: synthetic knowledge base for a fictional airport. Matched by similarity: uncertain."
T2_B004,Desk 154 — which check-in hall is that?,answer,answer,check_in,check_in,checkin_t1,checkin_t1,checkin_t1,exact_identifier,,strong match,text_only,,correct,True,,"Check-in Hall, Terminal 1 (Desks 101–160) (Terminal 1, Departures, Level 1, Check-in Hall). // Terminal 1 check-in hall with desks 101 to 160. Desk allocation by airline is shown on the hall displays. // Directions: Enter Terminal 1 at Departures level; the Check-in Hall occupies the centre of the level. From Arrivals, take the lifts or escalators up one level. // Opening hours mon to sun: 03:30-22:00. // Accessibility: step-free access, induction loop, accessible toilet nearby. // Lowered counters at desks 101-104. // Nearest assistance point: Assistance Point, Terminal 1 Check-in Hall. // Help: Departures information desk, Terminal 1. // Source: synthetic knowledge base for a fictional airport (record checkin_t1, last verified 2026-09-11). Matched by exact identifier."
T2_B005,Just got off the plane. Which baggage reclaim should I follow?,clarify,clarify,baggage,baggage,,,baggage_reclaim_t2|baggage_reclaim_t1,category_filter_semantic,0.4834,uncertain,text_only,,correct,True,,"There is more than one baggage location. Are you in Terminal 1 or Terminal 2? Ask again with the terminal, for example ""baggage in Terminal 1"". // Source: synthetic knowledge base for a fictional airport. Matched by similarity: uncertain."
T2_B006,Can I still get coffee in Terminal 2 at 8:15 tonight?,answer,answer,restaurant,restaurant,cafe_pier_c,cafe_pier_c,cafe_pier_c,category_filter_semantic,0.5403,strong match,text_only,time_reference_no_clock,correct,True,,"Pier C Café (Terminal 2, Departures, Level 1, Pier C). // Café at the start of Pier C in Terminal 2, after security. // Directions: Immediately after Terminal 2 security, on the right at the start of Pier C. // Opening hours mon to sun: 05:00-20:30. // Accessibility: step-free access, accessible toilet nearby. // Nearest assistance point: Assistance Point, Terminal 2. // Help: Information desk, Terminal 2. // I cannot see the current time, so I cannot say whether it is open right now; please compare the hours above with the time where you are. // Source: synthetic knowledge base for a fictional airport (record cafe_pier_c, last verified 2026-09-11). Matched by similarity: strong match."
T2_B007,I'm past security in T1 and need a toilet.,answer,clarify,restroom,restroom,restrooms_t1_departures,,restrooms_t1_departures|restrooms_t1_arrivals,category_filter_semantic,0.7361,uncertain,text_only,,over_cautious,False,safe: asked or declined where an answer was expected,"Which of these do you mean? Restrooms, Terminal 1 Departures and Airside or Restrooms, Terminal 1 Arrivals? // Source: synthetic knowledge base for a fictional airport. Matched by similarity: uncertain."
T2_B008,I'm arriving by train and need reduced-mobility assistance when I get off.,answer,answer,accessibility,accessibility,prm_point_rail,prm_point_rail,prm_point_rail,category_filter_semantic,0.6224,strong match,text_only,assist_policy,correct,True,,"The nearest designated assistance point is: // Assistance Point, Airport Rail Station (Terminal 1, Rail station, Level -1, Rail station entrance). // Designated assistance point at the entrance of Nordhaven Airport rail station, below Terminal 1. // Directions: At the station entrance, before the lifts up to the Arrivals level, marked with the assistance symbol and a call button. // Opening hours mon to sun: call button answered at all times. // Accessibility: step-free access, induction loop. // Nearest accessible toilet is in the Terminal 1 Arrivals Hall, one lift level up. // Help: Airport assistance line +00 000 0000 (synthetic). // Source: synthetic knowledge base for a fictional airport (record prm_point_rail, last verified 2026-09-11). Matched by similarity: strong match."
T2_B009,My gate is A4 — which part of the terminal is that?,answer,answer,gate,gate,gates_pier_a,gates_pier_a,gates_pier_a,exact_identifier,,strong match,text_only,,correct,True,,"Pier A Gates (A1–A12) (Terminal 1, Airside, Level 2, Pier A). // Boarding gates A1 to A12 in Pier A of Terminal 1. // Directions: After security North or South, follow signs for Gates A across the Airside Plaza; Pier A is on the left. Walking time from security is about 5 minutes. // Opening hours mon to sun: 04:00-01:00. // Accessibility: step-free access, accessible toilet nearby. // Level access throughout Pier A. // Nearest assistance point: Assistance Point, Terminal 1 Check-in Hall. // Help: Departures information desk, Terminal 1. // Source: synthetic knowledge base for a fictional airport (record gates_pier_a, last verified 2026-09-11). Matched by exact identifier."
T2_B010,Is there a covered way from Departures to the car park?,answer,clarify,transport,accessibility|transport,car_park_p1,,car_park_p1|prm_point_t1_checkin,category_filter_semantic,0.5042,uncertain,text_only,,over_cautious,False,safe: asked or declined where an answer was expected,"Which of these do you mean? Car Park P1 or Assistance Point, Terminal 1 Check-in Hall? // Source: synthetic knowledge base for a fictional airport. Matched by similarity: uncertain."
T2_B011,How late can I use the Aurora Lounge?,answer,answer,lounge,lounge,lounge_aurora,lounge_aurora,lounge_aurora,alias_lookup,,strong match,text_only,,correct,True,,"Aurora Lounge (Terminal 1, Airside, Level 2, Airside Plaza). // The airport's only lounge, airside in Terminal 1 near the entrance to Pier B. Pay-per-visit and eligible airline programmes. // Directions: After security, cross the Airside Plaza towards Gates B; the lounge entrance is on the upper mezzanine, lift available. // Opening hours mon to sun: 05:00-22:00. // Accessibility: step-free access, accessible toilet nearby. // Lift to the mezzanine beside the stairs. // Nearest assistance point: Assistance Point, Terminal 1 Check-in Hall. // Help: Departures information desk, Terminal 1. // Source: synthetic knowledge base for a fictional airport (record lounge_aurora, last verified 2026-09-11). Matched by alias lookup."
T2_B012,I'm in Terminal 2 and need medical help. Where's the first-aid room?,answer,answer,medical,medical,first_aid_t1,first_aid_t1,first_aid_t1,alias_lookup,,strong match,text_only,cross_terminal_service,correct,True,,"First Aid Room is in Terminal 1 and also serves Terminal 2. // First Aid Room (Terminal 1, Departures, Level 1, Check-in Hall (beside Security North)). // Staffed first-aid room for medical assistance, beside Security North in Terminal 1. Serves both terminals; Terminal 2 incidents are attended by mobile staff. // Directions: North end of the Check-in Hall, immediately beside the Security North entrance; marked with the first-aid symbol. // Opening hours mon to sun: 04:00-23:00; out of hours call the assistance line. // Accessibility: step-free access, induction loop, accessible toilet nearby. // Nearest assistance point: Assistance Point, Terminal 1 Check-in Hall. // Help: Airport assistance line +00 000 0000 (synthetic). // Source: synthetic knowledge base for a fictional airport (record first_aid_t1, last verified 2026-09-11). Matched by alias lookup."
T2_B013,Where's the help desk?,clarify,clarify,information,information,,,info_desk_t2|info_desk_t1_departures|info_desk_t1_arrivals,category_filter_semantic,0.4817,uncertain,text_only,,correct,True,,"There is more than one information location. Are you in Terminal 1 or Terminal 2? Ask again with the terminal, for example ""information in Terminal 1"". // Source: synthetic knowledge base for a fictional airport. Matched by similarity: uncertain."
T2_B014,I need airport assistance in Terminal 1 — where should I report?,clarify,clarify,accessibility,information,,,info_desk_t1_departures|info_desk_t1_arrivals,category_filter_semantic,0.5536,uncertain,text_only,,safe_mismatch,False,safe: a different safe decision than expected,"Which of these do you mean? Information Desk, Terminal 1 Departures or Information Desk, Terminal 1 Arrivals? // Source: synthetic knowledge base for a fictional airport. Matched by similarity: uncertain."
T2_B015,Has the 18:40 departure been pushed back?,redirect,clarify,information,check_in,,,checkin_t2|checkin_t1,semantic_full_kb,0.2745,uncertain,text_only,intent_unsupported,safe_mismatch,False,safe: a different safe decision than expected,"Which of these do you mean? Check-in, Terminal 2 (Desks 201–230) or Check-in Hall, Terminal 1 (Desks 101–160)? // Source: synthetic knowledge base for a fictional airport. Matched by similarity: uncertain."
T2_B016,Is my arriving flight on time right now?,redirect,redirect,information,information,,flight_information,flight_information,no_retrieval,,strong match,text_only,time_reference_no_clock|volatile,correct,True,,"I do not hold live flight, gate or delay information. // This assistant does not hold live flight data. For gate allocations, delays, boarding times and cancellations, use the boards or the airline's official channels. // Directions: Boards are located in every hall and pier. // Source: synthetic knowledge base for a fictional airport (record flight_information, last verified 2026-09-11)."
T2_B017,Can you reserve a taxi to collect me at the terminal?,abstain,answer,transport,transport,,taxi_rank_t1,taxi_rank_t1,category_filter_semantic,0.5426,strong match,text_only,action_request,wrong_confident,False,confident answer where none or another record was expected,"I cannot book, reserve, print or arrange anything; I can only give information about the airport. // Taxi Rank (Terminal 1, Arrivals, Level 0 (outside), Forecourt). // Official taxi rank outside Terminal 1 Arrivals. The airport's only taxi rank; Terminal 2 passengers use the shuttle to Terminal 1. // Directions: Exit the Arrivals Hall and turn right along the forecourt; the rank is signposted with the taxi symbol. // Opening hours mon to sun: staffed marshal 06:00-23:00; taxis available at all times. // Accessibility: step-free access, accessible toilet nearby. // Wheelchair-accessible vehicles requested via the marshal or the assistance line. // Nearest assistance point: Assistance Point, Terminal 1 Main Entrance. // Help: Arrivals information desk, Terminal 1. // Source: synthetic knowledge base for a fictional airport (record taxi_rank_t1, last verified 2026-09-11). Matched by similarity: strong match."
T2_B018,Can I buy a phone charger somewhere after security?,abstain,abstain,,lost_property|security,,,lost_property_t1|security_t2|security_t1_north,category_filter_semantic,0.1855,no reliable match,text_only,action_request,correct,True,,"I cannot book, reserve, print or arrange anything; I can only give information about the airport. // I could not find anything about that in the airport information I hold. // An information desk can help; there is one in each terminal. // Source: synthetic knowledge base for a fictional airport. Matched by similarity: no reliable match."
T2_B019,Wo finde ich die Toiletten in Terminal 2?,abstain,answer,,restroom,,restrooms_t2,restrooms_t2,category_filter_semantic,0.5728,strong match,text_only,,wrong_confident,False,confident answer where none or another record was expected,"Restrooms, Terminal 2 (Terminal 2, Departures, Level 1, Departures; Pier C). // Toilets in Terminal 2, landside near check-in and airside in Pier C, each including an accessible toilet. // Directions: Landside: left of the information desk. Airside: mid-way along Pier C. // Opening hours mon to sun: always open. // Accessibility: step-free access, accessible toilet nearby. // The Arrivals level of Terminal 2 has no accessible toilet; use the Departures level. // Nearest assistance point: Assistance Point, Terminal 2. // Help: Information desk, Terminal 2. // Source: synthetic knowledge base for a fictional airport (record restrooms_t2, last verified 2026-09-11). Matched by similarity: strong match."
T2_B020,Where can I exchange currency in the airport?,abstain,clarify,,lounge,,,lounge_aurora,category_filter_semantic,0.3631,uncertain,text_only,,safe_mismatch,False,safe: a different safe decision than expected,"Do you mean Aurora Lounge? Please confirm, or say a bit more about what you are looking for. // Source: synthetic knowledge base for a fictional airport. Matched by similarity: uncertain."
