query_id,query,intent,entities_json,target_kb_id,query_type,expected_behaviour,split,notes,expected_flags
qa001,an airport sign for baggage reclaim,find_baggage_reclaim,{},,vague,clarify,regression,typed in the interface on 16 Sep 2026 with the check-in suitcase pictogram; no terminal; two reclaim halls,
qa002,Is there a shuttle bus from terminal 2?,find_transport,"{""terminal"": ""Terminal 2""}",shuttle_t1_t2,precise,answer,regression,"the h024 shape: a cross-terminal service asked about from Terminal 2; must answer the shuttle, never a grounded no",cross_terminal_service|!grounded_negative|!terminal_mismatch
qa003,Does Terminal 2 have a lounge?,find_lounge,"{""terminal"": ""Terminal 2""}",lounge_aurora,precise,answer,regression,true grounded negative that must still fire: the lounge is Terminal 1 only by design,grounded_negative
qa004,Where is the check-in hall in Terminal 2?,find_check_in,"{""terminal"": ""Terminal 2""}",checkin_t2,precise,answer,regression,terminal-specific service in the asked terminal; plain answer,!grounded_negative|!cross_terminal_service|!terminal_mismatch
qa005,Is there a first aid room in Terminal 2?,request_accessibility_help,"{""terminal"": ""Terminal 2""}",first_aid_t1,precise,answer,regression,airport-level service located in Terminal 1 that serves both; answer with the cross-terminal sentence,cross_terminal_service|!grounded_negative|!terminal_mismatch
qa006,How often does the shuttle run?,find_transport,{},shuttle_t1_t2,precise,answer,regression,no terminal in the text: the terminal rules must stay silent; the semantic stage decides between the transport records,!grounded_negative
qa007,Where is KP12?,find_gate,{},,precise,abstain,regression,"item 2: the mm_032 transcript shape, an ASR-damaged gate id in flight-code shape with no flight context; must not redirect",!volatile
qa008,Is BA117 delayed?,ask_flight_status,{},flight_information,precise,redirect,regression,item 2 retention: a flight code without the word flight but with status wording must still redirect,volatile
qa009,Any news on flight XY456?,ask_flight_status,{},flight_information,precise,redirect,regression,item 2 retention: spoken-style flight reference,volatile
qa010,security north,find_security,{},security_t1_north,precise,answer,regression,item 3: reversed wording of the alias north security,
qa011,lost property office in terminal 2,report_lost_item,"{""terminal"": ""Terminal 2""}",lost_property_t1,precise,answer,regression,"item 3 must-not-retarget: no other lost-property record serves Terminal 2, the mismatch answer stands",terminal_mismatch
qa012,Baby changing room?,,{},,out_of_scope,clarify,regression,item 4: out-of-scope service that scores above tau_high against a restroom record; a weak intent must stop the confident answer,!grounded_negative
qa013,my mother needs a wheelchair,request_accessibility_help,{},prm_point_t1_entrance,precise,answer,regression,item 4 retention: a confident accessibility intent keeps its semantic answer,
qa014,What is this blue sign with a figure and a bag?,identify_sign,{},,vague,clarify,regression,item 1: weak text used with a strong photo in mm_142,
