sample_id,image_id,query_id,audio_id,modality_condition,scenario_type,expected_route,expected_decision,target_kb_id,target_category,expected_conflict,expected_clarification_field,consistency_label,conflict_type,query_type,split,notes
mm_001,,q001,,text_only,text_only,text_only,answer,gates_pier_b,,false,,single_modality,,precise,dev,
mm_002,,q004,,text_only,text_only,text_only,clarify,,gate,false,,single_modality,,vague,dev,gate unknown; three gate records
mm_003,img_008,,,image_only,image_only,image_only,answer,lounge_aurora,lounge,false,,single_modality,,deictic,dev,single record in category
mm_004,img_006,,,image_only,image_only,image_only,clarify,,baggage,false,,single_modality,,deictic,dev,two reclaim records; terminal unknown
mm_005,img_016,,,image_only,image_only,image_only,answer,first_aid_t1,medical,false,,single_modality,,deictic,dev,
mm_006,,,aud_025,voice_only,speech_only,voice_only,answer,gates_pier_b,,false,,single_modality,,precise,dev,
mm_007,,,aud_103,voice_only,speech_only,voice_only,answer,baggage_reclaim_t2,,false,,single_modality,,precise,dev,"belt 8, Indian English voice"
mm_008,,,aud_031,voice_only,speech_only,voice_only,answer,baggage_reclaim_t2,,false,,single_modality,,precise,dev,known ASR loss: belt 8 heard as bell date in 03.3
mm_009,img_001,q001,,image_text_consistent,text_image_consistent,text_leads,answer,gates_pier_b,gate,false,,consistent,,precise,dev,
mm_010,img_006,q011,,image_text_consistent,text_image_consistent,text_leads,answer,baggage_reclaim_t1,baggage,false,,consistent,,precise,dev,
mm_011,img_010,q021,,image_text_consistent,text_image_consistent,image_leads,clarify,,restaurant,false,,consistent,,vague,dev,typed text alone was misread as check-in in 03.2; the photo should lead
mm_012,img_008,q018,,image_text_consistent,text_image_consistent,text_leads,answer,lounge_aurora,lounge,false,,consistent,,vague,dev,
mm_013,img_006,q001,,image_text_conflict,text_image_conflict,text_leads,answer,gates_pier_b,gate,true,,conflict,category_mismatch,precise,dev,"identifier leads; disagreement surfaced, not merged"
mm_014,img_010,q018,,image_text_conflict,text_image_conflict,text_leads,conflict,,,true,,conflict,category_mismatch,vague,dev,alias answer vs strong restaurant photo
mm_015,img_010,q024,,image_text_conflict,text_image_conflict,image_leads,conflict,,,true,,conflict,category_mismatch,vague,dev,vague toilet question vs restaurant photo
mm_016,img_001,q042,,image_text_consistent,deictic_text_image,image_leads,clarify,,gate,false,,single_modality,,deictic,dev,three gate records; ask terminal
mm_017,img_008,q042,,image_text_consistent,deictic_text_image,image_leads,answer,lounge_aurora,lounge,false,,single_modality,,deictic,dev,
mm_018,img_017,q042,,image_text_consistent,deictic_text_image,image_leads,answer,first_aid_t1,medical,false,,single_modality,,deictic,dev,red first-aid variant
mm_019,img_001,,aud_025,voice_image,speech_image_consistent,voice_leads,answer,gates_pier_b,gate,false,,consistent,,precise,dev,
mm_020,img_006,,aud_030,voice_image,speech_image_consistent,voice_leads,answer,baggage_reclaim_t1,baggage,false,,consistent,,precise,dev,
mm_021,img_010,,aud_025,voice_image,speech_image_conflict,voice_leads,answer,gates_pier_b,gate,true,,conflict,category_mismatch,precise,dev,identifier leads; disagreement surfaced
mm_022,img_014,,aud_033,voice_image,speech_image_conflict,voice_leads,conflict,,,true,,conflict,category_mismatch,precise,dev,lounge question vs toilet photo
mm_023,img_027,,,image_only,oos_image,image_only,abstain,,,false,,single_modality,,out_of_scope,dev,barbershop pictogram; anchors known weak on pictograms
mm_024,img_032,,,image_only,oos_image,image_only,abstain,,,false,,single_modality,,out_of_scope,dev,drinking fountain; strong restroom match in 03.3
mm_025,,q038,,text_only,oos_text,text_only,abstain,,,false,,single_modality,,out_of_scope,dev,
mm_026,,q040,,text_only,oos_text,text_only,abstain,,,false,,single_modality,,out_of_scope,dev,
mm_027,,q035,,text_only,volatile,text_only,redirect,flight_information,,false,,single_modality,,volatile,dev,
mm_028,img_001,,aud_040,voice_image,volatile,voice_leads,redirect,flight_information,,false,,single_modality,,volatile,dev,photo must not change a redirect
mm_029,,q039,,text_only,action_request,text_only,abstain,,,false,,single_modality,,out_of_scope,dev,book a taxi: action request caveat expected
mm_030,img_022,,,image_only,low_quality_image,image_only,abstain,,,false,,single_modality,,out_of_scope,dev,white symbol on transparent background renders blank
mm_031,,,aud_126,voice_only,low_quality_audio,none,clarify,,,false,,single_modality,,precise,dev,gain below the loudness gate; ask to re-record
mm_032,,,aud_127,voice_only,low_quality_audio,voice_only,answer,gates_pier_b,,false,,single_modality,,precise,dev,white noise at 5 dB SNR
mm_033,img_008,,aud_126,voice_image,low_quality_audio,image_only,answer,lounge_aurora,lounge,false,,single_modality,,deictic,dev,rejected clip; the photo carries the turn
mm_034,img_001,q040,,image_text_consistent,oos_text,image_leads,clarify,,gate,false,,single_modality,,out_of_scope,dev,wifi question not understood; the photo leads
mm_035,img_001,q041,,image_text_consistent,text_only,text_leads,abstain,,,false,,single_modality,,precise,dev,gate B21 does not exist: grounded negative must survive an agreeing photo
mm_101,,h001,,text_only,text_only,text_only,answer,gates_pier_a,,false,,single_modality,,precise,heldout,
mm_102,,h019,,text_only,oos_text,text_only,abstain,,,false,,single_modality,,out_of_scope,heldout,
