blind_id,query,expected_decision,actual_decision,expected_category,actual_category,expected_record_id,actual_record_id,candidates,stage,match_score,band,route,flags,verdict,correct,safety_note,final_response
B001,I'm at B17 — which terminal is that and where do I head?,answer,answer,gate,gate,gates_pier_b,gates_pier_b,gates_pier_b,exact_identifier,,strong match,text_only,,correct,True,,"Pier B Gates (B1–B18) (Terminal 1, Airside, Level 2, Pier B). // Boarding gates B1 to B18 in Pier B of Terminal 1. // Directions: After security North or South, follow signs for Gates B; Pier B is on the right past the Aurora Lounge. Walking time from security is about 7 minutes. // Opening hours mon to sun: 04:00-01:00. // Accessibility: step-free access, accessible toilet nearby. // Level access throughout Pier B. // Nearest assistance point: Assistance Point, Terminal 1 Check-in Hall. // Help: Departures information desk, Terminal 1. // Source: synthetic knowledge base for a fictional airport (record gates_pier_b, last verified 2026-09-11). Matched by exact identifier."
B002,My check-in desk says 225. Where is that?,answer,clarify,check_in,check_in,checkin_t2,,checkin_t2|checkin_t1,category_filter_semantic,0.5119,uncertain,text_only,,over_cautious,False,safe: asked or declined where an answer was expected,"There is more than one check-in location. Are you in Terminal 1 or Terminal 2? Ask again with the terminal, for example ""check-in in Terminal 1"". // Source: synthetic knowledge base for a fictional airport. Matched by similarity: uncertain."
B003,Security in Terminal 1 — which way?,clarify,clarify,security,transport,,,bus_terminal|shuttle_t1_t2,category_filter_semantic,0.3285,uncertain,text_only,,safe_mismatch,False,safe: a different safe decision than expected,Which of these do you mean? Bus Terminal or Terminal Shuttle (T1 ↔ T2)? // Source: synthetic knowledge base for a fictional airport. Matched by similarity: uncertain.
B004,Is Security South still open at 8:30 tonight?,answer,answer,security,security,security_t1_south,security_t1_south,security_t1_south,alias_lookup,,strong match,text_only,time_reference_no_clock,correct,True,,"Security South, Terminal 1 (Terminal 1, Departures, Level 1, Check-in Hall (south end)). // Southern security checkpoint of Terminal 1, serving all airside areas. // Directions: At the south end of the Check-in Hall, past desks 141-160. // Opening hours mon to sun: 04:30-21:00. // Opens later and closes earlier than Security North; live queue times not available here. // Accessibility: step-free access, accessible toilet nearby. // Nearest assistance point: Assistance Point, Terminal 1 Check-in Hall. // Help: Departures information desk, Terminal 1. // I cannot see the current time, so I cannot say whether it is open right now; please compare the hours above with the time where you are. // Source: synthetic knowledge base for a fictional airport (record security_t1_south, last verified 2026-09-11). Matched by alias lookup."
B005,I’ve just landed — which baggage reclaim area should I head to?,clarify,clarify,baggage,baggage,,,baggage_reclaim_t1|baggage_reclaim_t2,category_filter_semantic,0.5029,uncertain,text_only,,correct,True,,"There is more than one baggage location. Are you in Terminal 1 or Terminal 2? Ask again with the terminal, for example ""baggage in Terminal 1"". // Source: synthetic knowledge base for a fictional airport. Matched by similarity: uncertain."
B006,I left my headphones somewhere. Is lost property open Sunday at 8 in the morning?,answer,answer,lost_property,lost_property,lost_property_t1,lost_property_t1,lost_property_t1,alias_lookup,,strong match,text_only,,correct,True,,"Lost Property Office (Terminal 1, Arrivals, Level 0, Arrivals Hall). // Central office for items lost anywhere at the airport or left on board aircraft. Serves both terminals. // Directions: Arrivals Hall, Terminal 1, beside the arrivals information desk. From Terminal 2, take the shuttle to Terminal 1. // Opening hours mon to fri: 07:00-19:00; sat to sun: 09:00-17:00. // Accessibility: step-free access, induction loop, accessible toilet nearby. // Nearest assistance point: Assistance Point, Terminal 1 Main Entrance. // Help: Arrivals information desk, Terminal 1. // Source: synthetic knowledge base for a fictional airport (record lost_property_t1, last verified 2026-09-11). Matched by alias lookup."
B007,Just arrived in T1 and need a coffee before heading out. Anywhere nearby?,answer,answer,restaurant,restaurant,cafe_harbour,cafe_harbour,cafe_harbour,category_filter_semantic,0.5847,strong match,text_only,,correct,True,,"Harbour Café (Terminal 1, Arrivals, Level 0, Arrivals Hall). // Landside café in the Terminal 1 Arrivals Hall serving coffee, snacks and light meals. Accessible without a boarding pass. // Directions: Arrivals Hall, next to the exit towards the bus terminal. // Opening hours mon to sun: 05:30-22:00. // Accessibility: step-free access, accessible toilet nearby. // Nearest assistance point: Assistance Point, Terminal 1 Main Entrance. // Help: Arrivals information desk, Terminal 1. // Source: synthetic knowledge base for a fictional airport (record cafe_harbour, last verified 2026-09-11). Matched by similarity: strong match."
B008,Bagajımı nereden teslim alabilirim?,abstain,abstain,,baggage|information,,,baggage_reclaim_t2|baggage_reclaim_t1|flight_information,semantic_full_kb,0.1414,no reliable match,text_only,,correct,True,,I could not find anything about that in the airport information I hold. // An information desk can help; there is one in each terminal. // Source: synthetic knowledge base for a fictional airport. Matched by similarity: no reliable match.
B009,Bathroom in Terminal 2?,answer,answer,restroom,restroom,restrooms_t2,restrooms_t2,restrooms_t2,category_filter_semantic,0.6737,strong match,text_only,,correct,True,,"Restrooms, Terminal 2 (Terminal 2, Departures, Level 1, Departures; Pier C). // Toilets in Terminal 2, landside near check-in and airside in Pier C, each including an accessible toilet. // Directions: Landside: left of the information desk. Airside: mid-way along Pier C. // Opening hours mon to sun: always open. // Accessibility: step-free access, accessible toilet nearby. // The Arrivals level of Terminal 2 has no accessible toilet; use the Departures level. // Nearest assistance point: Assistance Point, Terminal 2. // Help: Information desk, Terminal 2. // Source: synthetic knowledge base for a fictional airport (record restrooms_t2, last verified 2026-09-11). Matched by similarity: strong match."
B010,I need special assistance — where should I go?,clarify,answer,accessibility,medical,,first_aid_t1,first_aid_t1,category_filter_semantic,0.4153,strong match,text_only,assist_policy,wrong_confident,False,confident answer where none or another record was expected,"The nearest designated assistance point is: // First Aid Room (Terminal 1, Departures, Level 1, Check-in Hall (beside Security North)). // Staffed first-aid room for medical assistance, beside Security North in Terminal 1. Serves both terminals; Terminal 2 incidents are attended by mobile staff. // Directions: North end of the Check-in Hall, immediately beside the Security North entrance; marked with the first-aid symbol. // Opening hours mon to sun: 04:00-23:00; out of hours call the assistance line. // Accessibility: step-free access, induction loop, accessible toilet nearby. // Nearest assistance point: Assistance Point, Terminal 1 Check-in Hall. // Help: Airport assistance line +00 000 0000 (synthetic). // Source: synthetic knowledge base for a fictional airport (record first_aid_t1, last verified 2026-09-11). Matched by similarity: strong match."
B011,I've cleared security in Terminal 1 and want a proper sit-down meal. What's available?,answer,clarify,restaurant,restaurant,restaurant_skyline,,restaurant_skyline|cafe_harbour,category_filter_semantic,0.5694,uncertain,text_only,,over_cautious,False,safe: asked or declined where an answer was expected,Which of these do you mean? Skyline Restaurant or Harbour Café? // Source: synthetic knowledge base for a fictional airport. Matched by similarity: uncertain.
B012,I'm feeling faint near Security North. Where's first aid?,answer,answer,medical,medical,first_aid_t1,first_aid_t1,first_aid_t1,category_filter_semantic,0.5809,strong match,text_only,,correct,True,,"First Aid Room (Terminal 1, Departures, Level 1, Check-in Hall (beside Security North)). // Staffed first-aid room for medical assistance, beside Security North in Terminal 1. Serves both terminals; Terminal 2 incidents are attended by mobile staff. // Directions: North end of the Check-in Hall, immediately beside the Security North entrance; marked with the first-aid symbol. // Opening hours mon to sun: 04:00-23:00; out of hours call the assistance line. // Accessibility: step-free access, induction loop, accessible toilet nearby. // Nearest assistance point: Assistance Point, Terminal 1 Check-in Hall. // Help: Airport assistance line +00 000 0000 (synthetic). // Source: synthetic knowledge base for a fictional airport (record first_aid_t1, last verified 2026-09-11). Matched by similarity: strong match."
B013,I'm in T2 and need a taxi — where do I go?,answer,clarify,transport,transport,taxi_rank_t1,,taxi_rank_t1|rail_station,category_filter_semantic,0.5717,uncertain,text_only,,over_cautious,False,safe: asked or declined where an answer was expected,Which of these do you mean? Taxi Rank or Nordhaven Airport Rail Station? // Source: synthetic knowledge base for a fictional airport. Matched by similarity: uncertain.
B014,When do the first and last airport trains run?,answer,redirect,transport,information,rail_station,flight_information,flight_information,no_retrieval,,strong match,text_only,volatile,wrong_redirect,False,redirected without a live-information request,"I do not hold live flight, gate or delay information. // This assistant does not hold live flight data. For gate allocations, delays, boarding times and cancellations, use the boards or the airline's official channels. // Directions: Boards are located in every hall and pier. // Source: synthetic knowledge base for a fictional airport (record flight_information, last verified 2026-09-11)."
B015,Can I get from Terminal 1 to Terminal 2 around midnight?,answer,answer,transport,transport,shuttle_t1_t2,shuttle_t1_t2,shuttle_t1_t2,category_filter_semantic,0.5299,strong match,text_only,,correct,True,,"Terminal Shuttle (T1 ↔ T2) (Terminal 1, Arrivals, Level 0 (outside), Forecourt, stop 9; Terminal 2 entrance). // Free shuttle bus between Terminal 1 and Terminal 2, every 10 minutes. // Directions: Terminal 1: forecourt stop 9, left of the main exit. Terminal 2: directly outside the entrance. Journey time about 6 minutes. // Opening hours mon to sun: 04:00-01:00 (synthetic timetable). // Free of charge; step-free low-floor buses. // Accessibility: step-free access, accessible toilet nearby. // Low-floor boarding with ramp. // Nearest assistance point: Assistance Point, Terminal 1 Main Entrance. // Help: Any information desk. // Source: synthetic knowledge base for a fictional airport (record shuttle_t1_t2, last verified 2026-09-11). Matched by similarity: strong match."
B016,Has flight NV402 landed yet?,redirect,redirect,information,information,,flight_information,flight_information,no_retrieval,,strong match,text_only,volatile,correct,True,,"I do not hold live flight, gate or delay information. // This assistant does not hold live flight data. For gate allocations, delays, boarding times and cancellations, use the boards or the airline's official channels. // Directions: Boards are located in every hall and pier. // Source: synthetic knowledge base for a fictional airport (record flight_information, last verified 2026-09-11)."
B017,The departure time for NV402 seems to have changed — what's the latest time?,redirect,redirect,information,information,,flight_information,flight_information,no_retrieval,,strong match,text_only,volatile,correct,True,,"I do not hold live flight, gate or delay information. // This assistant does not hold live flight data. For gate allocations, delays, boarding times and cancellations, use the boards or the airline's official channels. // Directions: Boards are located in every hall and pier. // Source: synthetic knowledge base for a fictional airport (record flight_information, last verified 2026-09-11)."
B018,Please reserve me a space in P1 for tonight.,abstain,answer,transport,transport,,car_park_p1,car_park_p1,alias_lookup,,strong match,text_only,time_reference_no_clock|action_request,wrong_confident,False,confident answer where none or another record was expected,"I cannot book, reserve, print or arrange anything; I can only give information about the airport. // Car Park P1 (Terminal 1, Opposite Terminal 1; footbridge at Level 1, P1). // Multi-storey car park opposite Terminal 1, connected by a covered footbridge to the Departures level. // Directions: From Departures, cross the covered footbridge at the north end of the Check-in Hall. From Arrivals, take the lift to Level 1 first. // Opening hours mon to sun: always open. // Accessibility: step-free access. // Designated accessible bays on P1 ground floor near the lifts. // Nearest assistance point: Assistance Point, Terminal 1 Main Entrance. // Help: Arrivals information desk, Terminal 1. // I cannot see the current time, so I cannot say whether it is open right now; please compare the hours above with the time where you are. // Source: synthetic knowledge base for a fictional airport (record car_park_p1, last verified 2026-09-11). Matched by alias lookup."
B019,Is there a pharmacy after security?,abstain,clarify,,restroom,,,restrooms_t1_departures|restrooms_t2|restrooms_t1_arrivals,category_filter_semantic,0.311,uncertain,text_only,,safe_mismatch,False,safe: a different safe decision than expected,"There is more than one restroom location. Are you in Terminal 1 or Terminal 2? Ask again with the terminal, for example ""restroom in Terminal 1"". // Source: synthetic knowledge base for a fictional airport. Matched by similarity: uncertain."
