image_id,category,source,licence,licence_url,attribution,modified,source_type,quality_stratum,split,expected_label,optional_identifier,notes,file
img_001,gate,commons,"public domain / CC0 (AIGA/DOT symbol signs, per-file licence in data/images/provenance_commons.csv)",https://commons.wikimedia.org/wiki/Category:AIGA_symbol_signs,"AIGA and the US Department of Transportation symbol signs, files from Wikimedia Commons rendered server-side as 512 px PNG",yes,clean_icon,clean,dev,gate,,,files/img_001.png
img_002,gate,commons,"public domain / CC0 (AIGA/DOT symbol signs, per-file licence in data/images/provenance_commons.csv)",https://commons.wikimedia.org/wiki/Category:AIGA_symbol_signs,"AIGA and the US Department of Transportation symbol signs, files from Wikimedia Commons rendered server-side as 512 px PNG",yes,clean_icon,clean,heldout,gate,,,files/img_002.png
img_003,check_in,commons,"public domain / CC0 (AIGA/DOT symbol signs, per-file licence in data/images/provenance_commons.csv)",https://commons.wikimedia.org/wiki/Category:AIGA_symbol_signs,"AIGA and the US Department of Transportation symbol signs, files from Wikimedia Commons rendered server-side as 512 px PNG",yes,clean_icon,clean,dev,check_in,,,files/img_003.png
img_004,check_in,commons,"public domain / CC0 (AIGA/DOT symbol signs, per-file licence in data/images/provenance_commons.csv)",https://commons.wikimedia.org/wiki/Category:AIGA_symbol_signs,"AIGA and the US Department of Transportation symbol signs, files from Wikimedia Commons rendered server-side as 512 px PNG",yes,clean_icon,clean,dev,check_in,,inverted variant of ticket purchase,files/img_004.png
img_005,check_in,commons,"public domain / CC0 (AIGA/DOT symbol signs, per-file licence in data/images/provenance_commons.csv)",https://commons.wikimedia.org/wiki/Category:AIGA_symbol_signs,"AIGA and the US Department of Transportation symbol signs, files from Wikimedia Commons rendered server-side as 512 px PNG",yes,clean_icon,clean,heldout,check_in,,AIGA baggage check-in: a suitcase; expected confusion with baggage,files/img_005.png
img_006,baggage,commons,"public domain / CC0 (AIGA/DOT symbol signs, per-file licence in data/images/provenance_commons.csv)",https://commons.wikimedia.org/wiki/Category:AIGA_symbol_signs,"AIGA and the US Department of Transportation symbol signs, files from Wikimedia Commons rendered server-side as 512 px PNG",yes,clean_icon,clean,dev,baggage,,baggage lockers; baggage services,files/img_006.png
img_007,information,commons,"public domain / CC0 (AIGA/DOT symbol signs, per-file licence in data/images/provenance_commons.csv)",https://commons.wikimedia.org/wiki/Category:AIGA_symbol_signs,"AIGA and the US Department of Transportation symbol signs, files from Wikimedia Commons rendered server-side as 512 px PNG",yes,clean_icon,clean,dev,information,,,files/img_007.png
img_008,lounge,commons,"public domain / CC0 (AIGA/DOT symbol signs, per-file licence in data/images/provenance_commons.csv)",https://commons.wikimedia.org/wiki/Category:AIGA_symbol_signs,"AIGA and the US Department of Transportation symbol signs, files from Wikimedia Commons rendered server-side as 512 px PNG",yes,clean_icon,clean,dev,lounge,,waiting room stands in for lounge,files/img_008.png
img_009,restaurant,commons,"public domain / CC0 (AIGA/DOT symbol signs, per-file licence in data/images/provenance_commons.csv)",https://commons.wikimedia.org/wiki/Category:AIGA_symbol_signs,"AIGA and the US Department of Transportation symbol signs, files from Wikimedia Commons rendered server-side as 512 px PNG",yes,clean_icon,clean,dev,restaurant,,,files/img_009.png
img_010,restaurant,commons,"public domain / CC0 (AIGA/DOT symbol signs, per-file licence in data/images/provenance_commons.csv)",https://commons.wikimedia.org/wiki/Category:AIGA_symbol_signs,"AIGA and the US Department of Transportation symbol signs, files from Wikimedia Commons rendered server-side as 512 px PNG",yes,clean_icon,clean,dev,restaurant,,,files/img_010.png
img_011,restaurant,commons,"public domain / CC0 (AIGA/DOT symbol signs, per-file licence in data/images/provenance_commons.csv)",https://commons.wikimedia.org/wiki/Category:AIGA_symbol_signs,"AIGA and the US Department of Transportation symbol signs, files from Wikimedia Commons rendered server-side as 512 px PNG",yes,clean_icon,clean,dev,restaurant,,,files/img_011.png
img_012,restaurant,commons,"public domain / CC0 (AIGA/DOT symbol signs, per-file licence in data/images/provenance_commons.csv)",https://commons.wikimedia.org/wiki/Category:AIGA_symbol_signs,"AIGA and the US Department of Transportation symbol signs, files from Wikimedia Commons rendered server-side as 512 px PNG",yes,clean_icon,clean,dev,restaurant,,,files/img_012.png
