issue,implemented_mitigation,evidence,residual_risk,future_improvement
Retention of passenger words and media in logs,"Event log stores decision, route, ids, scores, band, flags, latency only; no image, audio or transcript fields; application never copies or saves uploads","src/event_log.py::event_from_outcome; app/app.py::run_turn; README 'Provenance and privacy'","Escalation note kept verbatim (≤500 chars) in tickets.jsonl; thumbnail and transcript held in session state; Gradio temp files and platform logs not controlled by the project","Redact/filter the note; document retention and add a deletion routine; assess platform temp-file handling"
Sensitive content in uploaded photos (boarding passes, faces, bystanders),"No OCR; no text is read from images; image is embedded by CLIP and compared with prompts, not stored by the app","src/vision.py (no text-recognition path); configs/settings.py enable_ocr=False; captures show only category/record evidence","Whole frame still uploaded and embedded; thumbnail persists in the session panel; no content detection or redaction","Privacy notice and consent step before upload; on-device downscale/crop; face/text-region blurring before embedding"
Sensitive content in speech,"Audio not stored by the app; transcript not logged; no speaker identification","src/event_log.py docstring and fields; src/speech.py (transcribe only)","Spoken names/references are transcribed, displayed and searched; audio passes through server; no redaction","Consent step for voice; transcript redaction of identifier-like tokens not needed for retrieval; local ASR option"
ASR bias across accents, noise and speech impairments,"Duration/loudness gate; editable transcript ('You said — edit if this is wrong'); wrong transcripts fall into the same clarify/abstain policy","Blind v3 speech WER 0.015 on 6 clips; preprocessing evidence aud_121 mis-transcribed at −40.6 dBFS; dataset 120/125 TTS, 1 human speaker, all quiet/clean","No accent, noise, age or disability evaluation performed; gate is a floor not a normaliser; nothing detects a wrong transcript","Consented multi-speaker multi-accent recordings with terminal noise; per-group WER; expose an ASR confidence signal"
Vision generalisation from clean pictograms to real signage,"Vision thresholds τ_high 0.30 / τ_low 0.24 / margin 0.015; out-of-scope anchors; blur/dark/bright flags shown; scores labelled as similarities not probabilities","data_exploration: 64 clean icons vs 37 photos, 19 dev positives, no images for security/accessibility prompts; Blind v3: top-1 5/6, in-scope outcome 3/6, OOS 2/2, wrong-confident 0","Photographed/angled/blurred signs often end in clarification; two prompt categories never validated on images; real airport signage untested","Add photographed and multilingual signage incl. security/accessibility examples; study glare and angle; re-set thresholds on a larger dev split"
English-only operation,"Whisper forced to English transcription; English vocabulary, gazetteers and exemplars; non-English queries expected to abstain","src/speech.py::transcribe generate_kwargs; data/vocabulary.json; queries_*.csv non_english rows","Non-English-speaking passengers excluded from text and voice paths; non-English speech rendered as best-effort English","Language detection; per-language normalisation and vocabularies; translated KB fields"
False certainty in answers,"Deterministic-first cascade; text thresholds 0.50/0.25/margin 0.10 with intent floors; clarify/abstain below thresholds; evidence panel with route, record, band and raw scores","configs/settings.py; src/retrieval.py::decide; captures A–E evidence panels; Blind v3 safe-outcome 0.90, wrong-confident image answers 0","Blind v3: 2 wrong-confident text answers (identifier overriding requested service); explanation wording sometimes lags the decision (structured deployment scenarios 4 and 5)","Prefer the more specific abstention reason; derive evidence wording from the narrowed candidate set; revisit identifier-vs-service precedence"
Cross-modal disagreement,"Router rule R4 surfaces a strong image of another category as a conflict ('Inputs disagree'); nothing is averaged","src/router.py rule order; Blind v3 conflict precision 1.00","Blind v3 conflict recall 0.50: an uncertain image is ignored rather than counted as disagreement","Treat an uncertain image whose top category differs from the text as a soft conflict to be confirmed"
Live flight, gate and queue information,"Volatile redirect before any lookup ('I do not hold live flight, gate or delay information.' + availability note); live-status sentence pointing to terminal displays; hours shown without asserting open/closed","src/retrieval.py volatile branch; src/responses.py::render; captured 'I cannot see the current time' sentence (deployment smoke-test session)","Some live-gate phrasings miss the redirect (Blind v3 known limitation); no live data source exists, so a passenger relying on the KB for anything time-critical is exposed","Live-data adapter behind the existing redirect policy; broaden volatile phrasing detection"
Human handover expectation,"'Request assistance' writes a reference record and names a KB contact route; message states the assistant cannot connect to a person; scope note says 'not a live agent'","app/app.py::request_assistance; src/event_log.py::open_ticket; SCOPE_NOTE; captured UI text","No real staff receive the record; on the Space the tickets file is ephemeral, so a quoted reference may not survive a restart","Real escalation endpoint to airport staff; durable ticket store with retention policy"
Accessibility of the interface,"Status conveyed by words plus aria-hidden symbols; icon buttons keep accessible names; visually hidden label; aria-live drop hint; 44–48 px targets; visible focus; editable transcript; accessibility fields on all 32 records; 4 PRM assistance records","app/app.py STATUS/status_chip and CSS; data/kb/airport_kb.json accessibility objects; src/entities.py accessibility family","No WCAG audit, no screen-reader or assistive-technology testing, no disabled participants; Gradio recorder controls unassessed; PRM ranking can prefer terminal-level over nearest point (Blind v3)","WCAG 2.1 audit; testing with assistive-technology users; landmark-nearest PRM ranking"
Synthetic and curated data,"All data marked synthetic and audited (source: synthetic machine-checked); fictional airport; public-domain pictograms with per-file licence records","README provenance section; data/images/provenance_commons.csv; data_exploration notes","Results do not transfer to real passengers, airports or signage; 32-record KB makes exact/alias matching unusually effective","Real KB from airport systems; consented real speech; real signage photographs; testing with passengers"
